pname,playtime
Svalbardcaretaker,3941863
LiLin,3941475
theglow,3940552
blorx1,3936066
Berder,3934505
Dootley,3932539
Anno,3931727
RedSky,3926660
kingbuddyboy,3923805
20200103,3922370
TheNoid,3911312
Pac,3906338
ddubois,3906148
Grinner,3901424
LAYA,3896268
Kurtz,3885868
gobogen,3884499
eeviac,3883775
Clancy,3883330
ggul001,3882588
Phaedo,3882516
Nich,3878961
bzbzbz,3878751
Fv001,3877155
Fusha,3869384
JiyvaJigglypuff,3866020
arthad,3864573
TheOldMan,3854547
ceylon,3853399
jorn,3851245
Kenran,3846704
Arctirus,3842344
noom,3839403
quik,3834755
CurlyBrace,3834404
rchandra,3833911
godot,3829554
Makr,3829216
sh,3819801
Euph0ria,3819674
Malacante,3816433
ghwc,3815282
sefie,3807768
Monsterracer,3804698
blobert,3801616
magenar,3800101
FrankTheTank,3799409
Spaninq,3798870
dinky,3797236
Schimscham,3777692
micr0chasm,3766797
Croases,3765230
Train,3765059
aravol,3764693
SkinnyP,3759866
brasw1bg,3759034
Tulse,3758267
Econoterrorist,3756999
promet,3750921
Cuckatoo,3748610
bart,3742620
KaiHerd,3742339
Tutankham,3741763
Palyth,3735956
whataluser,3732291
ArbitraryName,3728769
physeK,3728491
anything,3727233
gjx2,3727016
Grildrak,3725369
polystyrus,3717671
Sky,3713935
cbus,3713123
SFR,3713096
kazuki,3711935
hollowman,3710438
fly,3709235
Cruithne,3707297
foxor,3704369
chimenez,3703664
pepper,3697220
DChimera,3692263
tself55,3691769
coined,3691323
sadalin,3685926
unrecovered,3685881
Doesnt,3683972
MummyMadness,3680712
flt,3676754
Rrauwl,3676199
trckry,3672450
kvob,3669700
newuser,3668858
CatEater,3668119
nxtlvl,3665512
Tirrikindir,3663133
Lasty,3662882
igooo,3660696
Pind,3659572
Killmatronix,3652236
rax,3648811
pokeman,3648664
ciphuk,3648300
rokudenashi,3647758
Kolbur,3645801
howech,3641839
mora,3641419
Shovelmint,3641347
Thargor,3639689
mitch45678,3638287
mojowtm,3632646
Snack,3631146
Uberwunderbarhen,3629716
wasp,3627882
Numknucks,3624749
Cerrus,3624272
centipede,3621739
Baril,3619203
murklins,3617061
Golfball,3616860
EN0N,3614492
omil,3614442
jeedimahstah,3613572
Daisuki,3613234
greensnark,3610180
ArbitUH,3607795
Manman,3605677
ackack,3603689
Vinniefish,3602307
larifari,3600589
Chapayev,3597058
sanders,3596986
Hosung,3593512
Vaamat,3588914
ehdcjf2142,3586776
confidenceinterval,3579472
fooot,3578295
jongho1212,3573389
pointless,3571633
stubblyhead,3570151
Voker57,3561346
apparatus,3560530
Tarl,3558797
Thrustazar,3555590
Kramin,3550392
13572468,3548774
hofbold,3548670
duncan,3545397
dxctxrx,3545150
threedog,3541837
puppykicker,3536857
feelmyfire,3534328
bed,3529615
Hiermare,3527842
ThermosAquaticus,3526742
WeiSong,3518338
will825x,3518275
gnarr,3517933
move,3517513
Plazmod,3516921
Datul,3516243
schistosomatic,3513843
Xiguana,3508130
Demo,3504784
ThereIsNoGod,3501820
melllvar,3501003
Ratty,3497976
Gorglomux,3494808
rauk2000,3491638
Pseudonut,3486207
VZ,3486045
Maimakterion,3484783
garrulousMonolith,3483952
mortelune,3483067
Ahrin,3479322
Dickchan,3478380
Angani,3478120
Snord,3471571
arcanemastermind,3471216
Drazool,3468036
grisnicke,3464633
HungrySpirit,3462895
